num_etab;ine;code_diplome;c_jour_nais;c_mois_nais;c_annee_nais;c_annee_bac;c_serie_bac;c_sexe;c_nation;c_double_diplome;c_a_enqueter;statut_reponse;date_reponse;q2_1;q2_2;q2_3;q2_4a;q2_4_1;q2_4_2;q2_4_3;q2_4_4;q2_4_5;q2_4_6;q2_4_7;q2_5;q3_1_1;q3_1_2;q4_1;q4_2s;q4_2r;q4_3;q5_1;q5_2;q5_3;q5_4;q6_1;q6_2;q6_3;q6_4;q6_5;q6_6s;q6_6r;q6_7;q6_8;q6_9;q6_10;q6_11;q6_12;q6_13;q6_14a;q6_14b;q6_15;q6_16;q6_17;q7_1;q8_1;q8_2s;q8_2r;q8_3;q8_4;q8_5;q8_6;q8_7;region_bac;effectifsEmployeur;libdip1;libdip2;libdip3;annee
1;60931;2215128;NA;NA;NA;NA;;f;;NA;;5;NA;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29;plus de 500;MASTER ENS;gemz;dbmivm;2014
2;60931;2215128;NA;NA;NA;NA;;h;;NA;;4;11122015;102013;3;2;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;2;1;32014;112015;52015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;4;4;1;NA;1200;2;NA;42;Aucun salariÃ©;MASTER ENS;gemz;dbmivm;2013
3;60931;2215128;NA;NA;NA;NA;;h;;NA;;5;15122015;112013;1;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;1;2;82014;JURISTE TRADUCTEUR JURIDIQUE;1;NA;NA;NA;NA;500;2;NA;1;NA;6;NA;1;NA;NA;1;1;NA;NA;2;50;500;2;NA;37;plus de 500;MASTER ENS;gemz;dbmivm;2015
4;60931;2215128;NA;NA;NA;NA;;h;;NA;;4;11122015;112013;1;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;112013;Juriste d'entreprise;3;4;4;1;NA;1500;1;20000;4;5;6;NA;1;NA;NA;1;3;4;4;1;NA;1500;1;20000;81;de 10 Ã  49;MASTER ENS;gemz;dbmivm;2013
5;60931;2215128;NA;NA;NA;NA;;f;;NA;;4;10122015;92013;1;3;1;2;2;1;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;112014;Juriste d'entreprise;3;4;4;1;NA;1800;1;7500;4;6;6;NA;2;112013;22014;1;5;4;4;1;NA;1700;1;6400;9;de 10 Ã  49;MASTER ENS;gemz;dbmivm;2014
6;60931;2215128;NA;NA;NA;NA;;f;;NA;;5;3032016;42014;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92015;Assistante Propriété Intellectuelle;7;NA;NA;1;NA;NA;NA;NA;4;4;69;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;46;plus de 500;MASTER ENS;gemz;dbmivm;2013
7;60931;2215128;NA;NA;NA;NA;;f;;NA;;4;22122015;52013;3;3;1;2;2;1;2;2;2;2;1;2;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;de 3 Ã  9;MASTER ENS;gemz;dbmivm;2014
8;60931;2215128;NA;NA;NA;NA;;f;;NA;;4;23012016;102013;3;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;1;NA;NA;NA;NA;2;NA;112015;Négociateur immobilier;1;NA;NA;1;NA;NA;2;NA;1;4;6;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;76;de 50 Ã  499;MASTER ENS;gemz;dbmivm;2014
9;60931;2215128;NA;NA;NA;NA;;f;;NA;;4;9022016;102013;3;3;NA;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;22015;Juriste;5;1;1;1;NA;1590;2;NA;2;8;44;NA;2;32014;82014;2;NA;NA;NA;NA;NA;NA;NA;NA;19;plus de 500;MASTER ENS;gemz;dbmivm;2015
10;60931;2215128;NA;NA;NA;NA;;f;;NA;;4;23012016;112013;1;3;2;2;2;2;2;2;2;2;2;2;2;3;NA;NA;1;NA;NA;NA;NA;2;NA;102015;Gestionnaire en location;3;7;7;1;NA;1400;1;1400;4;4;6;NA;1;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;99;de 3 Ã  9;MASTER ENS;gemz;dbmivm;2015
11;60931;2215128;NA;NA;NA;NA;;f;;NA;;4;23012016;92013;3;2;1;2;1;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102013;Conseiller en ingénierie informatique;1;2;2;1;NA;15000;2;NA;1;7;6;NA;1;NA;NA;1;1;2;2;1;NA;13000;2;NA;73;de 3 Ã  9;MASTER ENS;gemz;dbmivm;2014
12;60931;2215128;NA;NA;NA;NA;;f;;NA;;5;23122015;92013;3;3;2;2;2;2;2;2;2;2;2;2;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92014;Professeur des ecoles;2;1;1;1;NA;1600;1;4200;2;9;6;NA;1;NA;NA;1;2;1;1;1;NA;1340;2;NA;28;de 3 Ã  9;MASTER ENS;gemz;dbmivm;2015
13;60931;2215128;NA;NA;NA;NA;D;f;;NA;;5;2122015;92013;3;2;1;2;2;2;2;2;2;1;1;3;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38;Aucun salariÃ©;MASTER ENS;gemz;dbmivm;2015
14;60931;2215128;NA;NA;NA;NA;;h;;NA;;4;23012016;92013;1;1;2;2;2;2;2;2;2;2;2;2;3;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76;Aucun salariÃ©;MASTER ENS;gemz;dbmivm;2013
15;60931;2215128;NA;NA;NA;1994;;f;;NA;;5;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;Aucun salariÃ©;MASTER ENS;gemz;dbmivm;2014
16;60931;2220262;NA;NA;NA;2007;;h;;NA;;4;11022016;72013;1;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;3;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;78;de 50 Ã  499;DUT;zkeg;kaoixf;2015
17;60931;2220262;NA;NA;NA;2005;;h;;NA;;5;11122015;72013;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;3;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32;plus de 500;DUT;zkeg;kaoixf;2014
18;60931;2220262;NA;NA;NA;2007;;h;;NA;;4;28012016;52013;3;3;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;NA;NA;NA;NA;2;NA;62015;consultante;3;4;4;2;50;2200;2;NA;4;6;6;NA;1;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;82;plus de 500;DUT;zkeg;kaoixf;2014
19;60931;2220262;NA;NA;NA;NA;;h;;NA;;4;30012016;92013;3;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;NA;NA;NA;NA;2;NA;11991;employé de jeux us;3;7;7;1;NA;6500;2;NA;4;13;6;NA;1;NA;NA;1;3;7;7;1;NA;6500;2;NA;42;de 10 Ã  49;DUT;zkeg;kaoixf;2014
20;60931;2220262;NA;NA;NA;2007;;h;;NA;;5;4012016;62013;3;3;1;2;2;2;2;2;2;1;2;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75;de 10 Ã  49;DUT;zkeg;kaoixf;2015
21;60931;2220262;NA;NA;NA;NA;;h;;NA;;5;2022016;62013;2;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;3;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;de 10 Ã  49;DUT;zkeg;kaoixf;2014
22;60931;2220262;NA;NA;NA;NA;;h;;NA;;4;23012016;72013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;2;1;12014;52015;122015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;7;7;2;75;700;1;NA;1;de 50 Ã  499;DUT;zkeg;kaoixf;2014
23;60931;2220262;NA;NA;NA;NA;;f;;NA;;5;11122015;NA;NA;NA;NA;2;2;2;2;2;2;2;NA;NA;NA;3;NA;NA;3;2;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;2;2;2;NA;NA;NA;NA;28;plus de 500;DUT;zkeg;kaoixf;2015
24;60931;2220262;NA;NA;NA;NA;;f;;NA;;5;12122015;72013;1;3;2;2;2;2;2;2;2;2;2;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;79;de 50 Ã  499;DUT;zkeg;kaoixf;2015
25;60931;2210326;NA;NA;NA;NA;;f;;NA;;4;18122015;92013;1;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;1;2;22014;Conseillère hygiène et sécurité;2;3;3;1;NA;1850;1;1600;2;10;6;NA;1;NA;NA;1;2;3;3;1;NA;1850;1;1600;56;de 10 Ã  49;LICENCE PRO;wulm;rqbvdt;2013
26;60931;2210326;NA;NA;NA;NA;;f;;NA;;5;16032016;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;72015;Juriste en environnement;3;2;2;1;NA;1650;2;NA;4;13;10;NA;2;12014;22014;2;NA;NA;NA;NA;NA;NA;NA;NA;7;de 10 Ã  49;LICENCE PRO;wulm;rqbvdt;2013
27;60931;2210326;NA;NA;NA;NA;;f;;NA;;4;11122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92014;Agent de gestion locative;5;4;4;1;NA;1300;1;2000;4;13;83;NA;2;52014;72014;1;5;4;4;1;NA;1300;1;2000;85;de 50 Ã  499;LICENCE PRO;wulm;rqbvdt;2014
28;60931;2210326;NA;NA;NA;NA;;f;;NA;;5;2122015;92013;1;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;22015;Technicien/juriste environnement;5;4;4;1;NA;2000;NA;NA;4;2;6;NA;2;112013;12014;1;5;4;4;1;NA;1700;NA;NA;22;Aucun salariÃ©;LICENCE PRO;wulm;rqbvdt;2014
29;60931;2210326;NA;NA;NA;NA;;h;;NA;;4;1032016;102013;3;1;2;2;2;2;2;2;2;2;1;2;2;3;NA;NA;1;NA;NA;NA;NA;2;NA;92013;juriste des entreprises;3;2;2;1;NA;2000;2;NA;4;13;6;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;37;plus de 500;LICENCE PRO;wulm;rqbvdt;2015
30;60931;2210326;NA;NA;NA;NA;;h;;NA;;4;14012016;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102014;Gestionnaire sinstres;3;7;7;1;NA;1750;1;NA;4;6;6;NA;2;12014;92014;1;3;7;7;1;NA;1750;1;NA;38;Aucun salariÃ©;LICENCE PRO;wulm;rqbvdt;2013
31;60931;2210326;NA;NA;NA;NA;;f;;NA;;5;2122015;92015;1;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;1;2;72015;Secretaire juridique ;3;7;7;1;NA;1194;2;NA;NA;8;6;NA;1;NA;NA;1;11;7;7;1;NA;NA;2;NA;98;Aucun salariÃ©;LICENCE PRO;wulm;rqbvdt;2015
32;60931;2210326;NA;NA;NA;NA;;f;;NA;;4;11122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;72015;Adjoint administratif;6;7;7;2;50;450;2;NA;NA;8;6;NA;2;92014;42015;1;3;4;4;1;NA;1200;2;NA;47;de 50 Ã  499;LICENCE PRO;wulm;rqbvdt;2015
33;60931;2210326;NA;NA;NA;NA;;h;;NA;;4;18122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102013;Secrétaire au conseil départemental;2;5;5;1;NA;1200;2;NA;2;10;6;NA;1;NA;NA;1;2;5;5;1;NA;1200;2;NA;65;de 3 Ã  9;LICENCE PRO;wulm;rqbvdt;2014
34;60931;2210326;NA;NA;NA;1986;;h;;NA;;4;23012016;92013;3;2;1;2;2;2;2;2;1;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;52014;Réceptionniste hôtellier;3;7;7;1;NA;1400;2;NA;4;4;6;NA;1;NA;NA;1;3;7;7;1;NA;1400;2;NA;39;de 50 Ã  499;LICENCE PRO;wulm;rqbvdt;2013
35;60931;2210326;NA;NA;NA;NA;;f;;NA;;4;30012016;92013;3;3;2;2;2;2;2;2;2;2;2;2;NA;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;plus de 500;LICENCE PRO;wulm;rqbvdt;2013
36;60931;2210326;NA;NA;NA;NA;;h;;NA;;4;12022016;92013;1;3;2;2;2;2;2;2;2;2;2;2;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;122015;juriste contentiteux;3;4;4;1;NA;2300;1;NA;4;13;92;NA;1;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;9;de 50 Ã  499;LICENCE PRO;wulm;rqbvdt;2015
37;60931;2210326;NA;NA;NA;NA;;f;;NA;;4;23012016;92013;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31;de 50 Ã  499;LICENCE PRO;wulm;rqbvdt;2013
38;60931;2210326;NA;NA;NA;NA;;f;;NA;;4;23012016;92013;1;3;2;2;2;2;2;2;2;2;2;2;3;3;NA;NA;2;1;22013;52013;62013;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;43;de 3 Ã  9;LICENCE PRO;wulm;rqbvdt;2015
39;60931;2210326;NA;NA;NA;2007;;h;;NA;;5;9122015;92013;3;3;1;2;2;2;2;2;2;1;2;2;2;3;NA;NA;1;NA;NA;NA;NA;2;NA;72015;Environnementaliste ;3;NA;NA;NA;NA;NA;1;NA;NA;3;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;7;de 3 Ã  9;LICENCE PRO;wulm;rqbvdt;2015
40;60931;2210326;NA;NA;NA;NA;;f;;NA;;5;10032016;92013;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48;Aucun salariÃ©;LICENCE PRO;wulm;rqbvdt;2014
41;60931;2210326;NA;NA;NA;2005;;h;;NA;;4;28012016;92013;3;3;1;2;2;2;2;2;1;2;2;2;2;3;NA;NA;1;NA;NA;NA;NA;2;NA;12015;assistante juridique;3;2;2;1;NA;1900;2;NA;7;13;6;NA;1;NA;NA;1;5;7;7;1;NA;NA;NA;NA;53;de 3 Ã  9;LICENCE PRO;wulm;rqbvdt;2014
42;60931;2210326;NA;NA;NA;NA;;f;;NA;;4;30012016;92013;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;NA;NA;NA;NA;2;NA;102015;Juriste d'entreprise;5;2;2;1;NA;1744;2;NA;4;7;6;NA;2;72015;92015;3;NA;NA;NA;NA;NA;NA;NA;NA;65;de 10 Ã  49;LICENCE PRO;wulm;rqbvdt;2013
43;60931;2210327;NA;NA;NA;NA;;f;;NA;;4;18122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102015;Collaboratrice;3;2;2;1;NA;2000;1;2000;NA;13;6;NA;2;92013;102015;1;5;2;2;1;NA;2000;1;2000;25;Aucun salariÃ©;LICENCE PRO;fkrt;trlkey;2014
44;60931;2210327;NA;NA;NA;NA;;f;;NA;;5;2122015;92013;1;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;42015;Juriste droit des affaires ;3;2;2;1;NA;1500;1;2000;4;7;6;NA;2;42013;92014;2;NA;NA;NA;NA;NA;NA;NA;NA;79;de 10 Ã  49;LICENCE PRO;fkrt;trlkey;2015
45;60931;2210327;NA;NA;NA;NA;;h;;NA;;4;22122015;62013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;2;1;52013;122014;12015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;4;4;1;NA;2100;1;2100;97;Aucun salariÃ©;LICENCE PRO;fkrt;trlkey;2014
46;60931;2210327;NA;NA;NA;NA;;h;;NA;;4;11122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;22015;Assistante de direction et secrétaire;3;4;4;1;NA;1600;2;NA;4;11;6;NA;2;122013;52014;1;5;4;4;1;NA;1400;2;NA;93;de 50 Ã  499;LICENCE PRO;fkrt;trlkey;2015
47;60931;2210327;NA;NA;NA;NA;;h;;NA;;4;11122015;92013;1;3;2;2;2;2;2;2;2;2;2;2;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92014;Chargée de missions juridiques;3;2;2;1;NA;2350;1;5000;4;13;6;NA;1;NA;NA;1;5;2;2;1;NA;2350;1;5000;75;de 10 Ã  49;LICENCE PRO;fkrt;trlkey;2015
48;60931;2210327;NA;NA;NA;NA;;h;;NA;;4;12122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;112013;Chargé d'affaires;3;2;2;1;NA;3500;1;5000;4;3;75;NA;1;NA;NA;1;3;2;2;1;NA;3500;1;5000;84;de 10 Ã  49;LICENCE PRO;fkrt;trlkey;2013
49;60931;2210327;NA;NA;NA;NA;;f;;NA;;5;3122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102014;Juriste affaires sociales;3;2;2;1;NA;1950;1;3200;4;4;78;NA;2;102013;42014;1;5;2;2;1;NA;2400;1;3000;75;Aucun salariÃ©;LICENCE PRO;fkrt;trlkey;2014
50;60931;2210327;NA;NA;NA;NA;;f;;NA;;5;NA;92013;3;1;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;87;Aucun salariÃ©;LICENCE PRO;fkrt;trlkey;2014
51;60931;2210327;14;4;1989;2006;31;h;e;NA;;5;14122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;2;1;32015;92015;102015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;19;de 3 Ã  9;LICENCE PRO;fkrt;trlkey;2013
52;60931;2210327;NA;NA;NA;NA;;h;;NA;;4;19122015;92013;3;3;2;2;2;2;2;2;2;2;2;2;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;112013;JURISTE;1;2;2;1;NA;1700;2;NA;NA;7;6;NA;1;NA;NA;1;1;2;2;1;NA;1500;2;NA;38;de 10 Ã  49;LICENCE PRO;fkrt;trlkey;2015
53;60931;2210327;NA;NA;NA;2003;;f;;NA;;5;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;plus de 500;LICENCE PRO;fkrt;trlkey;2015
54;60931;2210327;NA;NA;NA;NA;;h;;NA;;5;2122015;92013;1;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;de 50 Ã  499;LICENCE PRO;fkrt;trlkey;2013
55;60931;2210327;NA;NA;NA;2005;;h;;NA;;4;8122015;112013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;2;2;NA;NA;12013;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;80;de 10 Ã  49;LICENCE PRO;fkrt;trlkey;2013
56;60931;2210327;24;5;1971;1988;31;h;e;NA;;4;5032016;102013;3;2;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92013;juriste entreprise;3;2;2;1;NA;2700;2;NA;4;13;99;350;1;NA;NA;1;3;2;2;1;NA;2700;2;NA;63;plus de 500;LICENCE PRO;fkrt;trlkey;2015
57;60931;2210327;11;5;1984;2003;31;h;e;NA;;5;2122015;92013;3;3;1;2;2;2;2;2;2;1;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;22012;Juriste conseil ;3;2;2;1;NA;850;NA;NA;4;6;97;NA;2;22012;62014;1;3;2;2;1;NA;850;NA;NA;11;de 3 Ã  9;LICENCE PRO;fkrt;trlkey;2015
58;60931;2210327;NA;NA;NA;NA;;h;;NA;;4;28012016;92013;1;1;2;2;2;2;2;2;2;2;2;2;2;3;NA;NA;1;NA;NA;NA;NA;2;NA;62015;juriste;5;2;2;2;80;NA;2;NA;7;13;6;NA;1;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;91;plus de 500;LICENCE PRO;fkrt;trlkey;2015
59;60931;2210327;14;7;1988;2007;31;f;e;NA;;5;3122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;22015;Assistante juridique;5;2;2;1;NA;750;NA;NA;2;10;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;29;de 3 Ã  9;LICENCE PRO;fkrt;trlkey;2014
60;60931;2210327;NA;NA;NA;NA;;h;;NA;;5;6012016;72013;3;3;NA;2;2;2;2;2;2;2;2;2;3;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;de 10 Ã  49;LICENCE PRO;fkrt;trlkey;2015
61;60931;2214690;NA;NA;NA;NA;;h;;NA;;4;12122015;92013;3;3;1;2;2;2;2;2;1;2;2;3;3;3;NA;NA;2;1;32014;122014;82015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;4;4;1;NA;1200;1;1200;33;de 3 Ã  9;MASTER LMD;cxnx;dfhndy;2013
62;60931;2214690;NA;NA;NA;NA;;h;;NA;;5;6012016;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102013;JURISTE BANQUE;3;2;2;1;NA;2000;2;NA;4;6;6;NA;1;NA;NA;1;3;2;2;1;NA;1800;2;NA;33;plus de 500;MASTER LMD;cxnx;dfhndy;2013
63;60931;2214690;NA;NA;NA;NA;;h;;NA;;4;12122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;52015;Assistante commerciale;3;4;4;1;NA;1500;1;9600;4;6;6;NA;2;102013;122013;1;3;4;4;1;NA;1200;2;NA;36;Aucun salariÃ©;MASTER LMD;cxnx;dfhndy;2015
64;60931;2214690;NA;NA;NA;NA;;h;;NA;;5;2122015;92013;1;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;52014;Chargé de conformité ;3;2;2;1;NA;2100;1;5000;4;6;92;NA;1;NA;NA;1;7;2;2;1;NA;2300;NA;NA;62;de 10 Ã  49;MASTER LMD;cxnx;dfhndy;2015
65;60931;2214690;NA;NA;NA;NA;;f;;NA;;4;12122015;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;52015;Surveillante de portefeuille dans un groupe d'assurances;3;4;4;1;NA;2100;2;NA;4;6;6;NA;2;42013;62014;3;NA;NA;NA;NA;NA;NA;NA;NA;42;de 50 Ã  499;MASTER LMD;cxnx;dfhndy;2013
66;60931;2214690;NA;NA;NA;NA;;h;;NA;;4;4032016;82013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;122015;Junior Associate;3;2;2;1;NA;3500;1;NA;NA;6;99;137;2;12014;72014;1;3;2;2;1;NA;2500;2;NA;72;de 10 Ã  49;MASTER LMD;cxnx;dfhndy;2014
67;60931;2214690;NA;NA;NA;NA;;f;;NA;;4;12122015;92013;1;1;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;62015;Administrateur;5;2;2;1;NA;2800;1;3100;2;3;6;NA;2;102013;62015;1;3;4;4;1;NA;2300;2;NA;6;Aucun salariÃ©;MASTER LMD;cxnx;dfhndy;2013
68;60931;2214690;NA;NA;NA;NA;;f;;NA;;5;3022016;92013;3;3;2;2;2;2;2;2;2;2;2;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102013;Chargée d'affaires recouvrement et contentieux ;3;2;2;1;NA;1850;1;2800;4;6;94;NA;1;NA;NA;1;3;2;2;1;NA;1850;1;2850;86;de 50 Ã  499;MASTER LMD;cxnx;dfhndy;2015
