num_etab;ine;code_diplome;c_jour_nais;c_mois_nais;c_annee_nais;c_annee_bac;c_serie_bac;c_sexe;c_nation;c_double_diplome;c_a_enqueter;statut_reponse;date_reponse;q2_1;q2_2;q2_3;q2_4a;q2_4_1;q2_4_2;q2_4_3;q2_4_4;q2_4_5;q2_4_6;q2_4_7;q2_5;q3_1_1;q3_1_2;q4_1;q4_2s;q4_2r;q4_3;q5_1;q5_2;q5_3;q5_4;q6_1;q6_2;q6_3;q6_4;q6_5;q6_6s;q6_6r;q6_7;q6_8;q6_9;q6_10;q6_11;q6_12;q6_13;q6_14a;q6_14b;q6_15;q6_16;q6_17;q7_1;q8_1;q8_2s;q8_2r;q8_3;q8_4;q8_5;q8_6;q8_7;region_bac;effectifsEmployeur;libdip1;libdip2;libdip3;annee
2690;60931;2003322;NA;NA;NA;NA;;f;;NA;;4;30012016;92013;3;3;NA;1;2;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;32014;technicien supérieur en support et télécommunication ;3;4;4;1;NA;1600;1;2000;4;13;38;NA;1;NA;NA;1;3;4;4;1;NA;1400;1;2000;55;de 3 Ã  9;LICENCE PRO;tlcc;gbmjkg;2014
2691;60931;2003322;NA;NA;NA;NA;;f;;NA;;5;31122015;92013;3;1;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92015;Technicien systèmes et réseaux;5;4;4;1;NA;1775;1;NA;4;9;92;NA;2;92013;22015;1;5;4;4;1;NA;1496;2;NA;17;de 3 Ã  9;LICENCE PRO;tlcc;gbmjkg;2014
2692;60931;2003322;NA;NA;NA;NA;;f;;NA;;4;18022016;92013;3;1;NA;1;2;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;12015;technicien informatique;5;4;4;1;NA;1400;2;NA;2;5;6;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;63;de 3 Ã  9;LICENCE PRO;tlcc;gbmjkg;2015
2693;60931;2003322;NA;NA;NA;NA;;f;;NA;;4;25022016;72013;3;1;NA;2;1;1;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;112015;Administrateur système et réseaux informatiques;3;4;4;1;NA;2200;2;NA;4;7;6;NA;2;72013;112013;1;3;4;4;1;NA;1850;2;NA;44;de 10 Ã  49;LICENCE PRO;tlcc;gbmjkg;2014
2694;60931;2003322;NA;NA;NA;NA;;h;;NA;;5;19122015;92013;3;3;NA;1;2;2;2;2;NA;2;NA;1;1;1;NA;NA;1;NA;NA;NA;NA;2;NA;102015;Ingenieur systèmes ;3;2;2;1;NA;NA;NA;NA;4;5;75;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;70;de 10 Ã  49;LICENCE PRO;tlcc;gbmjkg;2015
2695;60931;2003322;NA;NA;NA;NA;;f;;NA;;5;19122015;72013;3;2;NA;1;2;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;62015;Administrateur systèmes & réseaux;3;4;4;1;NA;2100;1;1613;4;7;6;NA;NA;NA;NA;1;3;4;4;1;NA;1500;2;NA;48;Aucun salariÃ©;LICENCE PRO;tlcc;gbmjkg;2013
2696;60931;2003322;NA;NA;NA;NA;;h;;NA;;4;30012016;92013;3;3;NA;2;1;2;2;2;NA;2;NA;1;1;1;NA;NA;1;NA;NA;NA;NA;2;NA;82015;Ingénieur réseau systèmes;3;2;2;1;NA;2000;1;28000;4;7;6;NA;1;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;19;de 50 Ã  499;LICENCE PRO;tlcc;gbmjkg;2014
2697;60931;2003322;NA;NA;NA;NA;;h;;NA;;4;23012016;92013;3;NA;NA;2;2;1;2;2;NA;2;NA;1;1;1;NA;NA;1;NA;NA;NA;NA;2;NA;102015;consultant en système d'informatique;3;2;2;1;NA;NA;NA;NA;4;8;31;NA;1;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;17;de 3 Ã  9;LICENCE PRO;tlcc;gbmjkg;2015
2698;60931;2003322;NA;NA;NA;NA;;h;;NA;;5;19122015;72013;3;2;NA;1;2;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;102013;Responsable Informatique;3;1;1;1;NA;1700;1;1500;2;9;6;NA;1;NA;NA;1;5;1;1;1;NA;1700;1;1500;41;Aucun salariÃ©;LICENCE PRO;tlcc;gbmjkg;2015
2699;60931;2005136;NA;NA;NA;NA;;f;;NA;;4;20022016;92013;3;3;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;2;1;72014;82014;112015;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;8;plus de 500;MASTER ENS;lvjn;feqvka;2015
2700;60931;2005136;NA;NA;NA;NA;;h;;NA;;4;9022016;62013;3;3;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;12016;assistant d'éducation ;3;5;5;2;90;960;2;NA;2;9;6;NA;2;92013;22014;1;3;NA;NA;2;50;500;2;NA;97;de 3 Ã  9;MASTER ENS;lvjn;feqvka;2015
2701;60931;2005136;NA;NA;NA;NA;;f;;NA;;4;22012016;62013;1;1;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;112013;journaliste reporteur d'image ;8;2;2;1;NA;2200;2;NA;4;5;98;NA;1;NA;NA;1;8;2;2;1;NA;2200;2;NA;76;Aucun salariÃ©;MASTER ENS;lvjn;feqvka;2014
2702;60931;2005136;NA;NA;NA;NA;;h;;NA;;5;27022016;92013;1;1;NA;2;2;1;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;92015;Stage de JRI-Monteuse dans une WebTv à Montréal, rémunérée par Pole Emploi grâce à leur entente avec l'Office Franco Québecois pour la Jeunesse;11;2;2;2;80;850;2;NA;5;5;99;401;2;102013;122013;2;NA;NA;NA;NA;NA;NA;NA;NA;18;de 50 Ã  499;MASTER ENS;lvjn;feqvka;2015
2703;60931;2005136;NA;NA;NA;NA;;f;;NA;;4;23012016;92013;1;2;NA;2;1;2;2;2;NA;2;NA;3;3;3;NA;NA;1;NA;NA;NA;NA;2;NA;22015;Responsable montage vidéo ;3;4;4;1;NA;1400;2;NA;4;NA;59;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;72;de 3 Ã  9;MASTER ENS;lvjn;feqvka;2015
